path,criticality,total_lines,ai_lines,automation_lines
docs/ip/FILE_PROVENANCE.json,STANDARD,111158,111158,0
docs/ip/AI_PROVENANCE.csv,STANDARD,6879,6879,0
docs/ip/FILE_PROVENANCE.csv,STANDARD,6176,6176,0
apps/api/openapi.yaml,STANDARD,3669,3669,0
scripts/sql/pc-crop-accounting-rls-checks.sql,STANDARD,3168,3168,0
docs/TZ-GRAINFLOW-V3-FINAL.md,STANDARD,1673,1673,0
apps/api/src/modules/accounting/accounting.controller.ts,CROWN_JEWEL,840,840,0
docs/ops/pc-crop-federal-accounting/execution-state.json,STANDARD,745,745,0
apps/web/lib/platform-v7/tai-conversation-state.ts,STANDARD,735,735,0
apps/api/src/modules/accounting/deal-service.postgresql.spec.ts,CROWN_JEWEL,709,709,0
docs/ip/AI_ONLY_FILES.csv,STANDARD,683,683,0
apps/api/prisma/migrations/20260806103000_bounded_staff_admission_authority/migration.sql,STANDARD,620,620,0
docs/ip/registry-license-evidence.json,STANDARD,586,586,0
apps/api/prisma/migrations/20260806090000_identity_row_level_security/migration.sql,STANDARD,556,556,0
apps/api/src/modules/accounting/deal-service.repository.ts,CROWN_JEWEL,518,518,0
apps/api/prisma/migrations/20260817170000_pc_crop_accounting_deal_services/migration.sql,STANDARD,517,517,0
apps/api/prisma/migrations/20260817200000_pc_crop_accounting_payments/migration.sql,STANDARD,498,498,0
apps/api/src/modules/auth/accounting-authority-command.policy.spec.ts,CROWN_JEWEL,497,497,0
apps/api/src/modules/accounting/work-task.repository.ts,CROWN_JEWEL,496,496,0
apps/api/src/modules/accounting/payment.postgresql.spec.ts,CROWN_JEWEL,490,490,0
apps/api/prisma/migrations/20260817120000_pc_crop_accounting_advances/migration.sql,STANDARD,478,478,0
apps/api/src/modules/accounting/work-task.policy.spec.ts,CROWN_JEWEL,477,477,0
apps/api/src/modules/accounting/work-task.postgresql.spec.ts,CROWN_JEWEL,476,476,0
apps/api/src/modules/auth/signing-authority.policy.spec.ts,CROWN_JEWEL,471,471,0
apps/api/prisma/migrations/20260818090000_pc_crop_connection_attestation_subjects/migration.sql,STANDARD,463,463,0
apps/api/src/modules/accounting/work-task.policy.ts,CROWN_JEWEL,444,444,0
apps/api/src/modules/accounting/deal-service.policy.spec.ts,CROWN_JEWEL,442,442,0
apps/api/src/modules/accounting/advance.postgresql.spec.ts,CROWN_JEWEL,440,440,0
apps/api/src/modules/accounting/accounting-period.repository.ts,CROWN_JEWEL,438,438,0
apps/api/src/modules/accounting/payment.repository.ts,CROWN_JEWEL,433,433,0
apps/web/lib/gekta/product-copy.ts,CROWN_JEWEL,409,409,0
