contributor_id,display_name,email_sha256,commit_count,first_seen,last_seen,rights_evidence_status
pachaninm-lab#97bdb9e06bb3722c,pachaninm-lab,97bdb9e06bb3722c43c1417130644fa43258aee31662904d9e8bfda213ed0bc1,21780,2026-04-07T00:04:21+03:00,2026-08-22T22:43:01+03:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
Claude#cd29c5ac348a026a,Claude,cd29c5ac348a026a3ec5286890908fffb5bf6ab77f20672171be323a70c95026,841,2026-04-06T20:49:06+00:00,2026-08-22T19:16:16+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
github-actions[bot]#e7cd911927c7d1ac,github-actions[bot],e7cd911927c7d1acf6281b69d385990d8fadcd26871048bbcdbff2e88da7f607,332,2026-06-03T17:22:58+00:00,2026-08-21T15:02:04+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
Platon#af68b1a9b3724c86,Platon,af68b1a9b3724c86efba21773bcbf16345e7722d4fb4f00e3afbab2042d9ae89,88,2026-05-20T20:42:33+03:00,2026-06-12T01:58:21+03:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
Codex#b1b6016d8905655b,Codex,b1b6016d8905655b67015c82dca83fdadc094e90453b159d4ef2280f82e374e4,65,2026-05-15T20:26:00+03:00,2026-06-04T10:52:21+03:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
platform-v7-agent#267eb41e0cd8769b,platform-v7-agent,267eb41e0cd8769b8edacbc341caecda0fb97febd51b578f1252013fc76233d3,50,2026-06-02T07:15:37+00:00,2026-06-07T22:26:06+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
platform-v7-ops#9333822632522fe1,platform-v7-ops,9333822632522fe1c87a23617a598aa6a0d163200df06b2945a699d02d40e385,16,2026-07-11T04:45:51+00:00,2026-07-11T10:50:13+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
p7-state#3f46d14b3a05c9e1,p7-state,3f46d14b3a05c9e157532297eab5de28240f44a89c3acf77bc5f22b71ab8da05,15,2026-06-06T21:48:37+00:00,2026-06-07T22:29:06+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pachaninm-lab#f203a02abad826ee,pachaninm-lab,f203a02abad826ee991ce69143e7e05ff5ce1f8464b216346105c93771b4307f,13,2026-07-21T23:07:29+00:00,2026-08-10T19:16:13+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pc-crop-governed-bot#46894a3de9aa7129,pc-crop-governed-bot,46894a3de9aa712919704f581466e4acdfe44ce42247249e431ca559d8403f3e,7,2026-07-21T06:39:00+00:00,2026-07-21T12:35:11+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
claude[bot]#a77c9bb540d3b078,claude[bot],a77c9bb540d3b078e76d99b6f0dee08c8641ef340180a0517e0a90a9f30de27a,4,2026-08-16T12:25:43+00:00,2026-08-17T05:30:49+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pachaninm-lab#e0917de297183325,pachaninm-lab,e0917de29718332573904e6315c7114b44d8ad446ea47a268902cd047d1de136,4,2026-07-21T19:03:32+00:00,2026-07-23T23:15:25+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
root#ce3eaa797da1a69f,root,ce3eaa797da1a69f079b9f7cb1ad86da0fe1833a348f0ba28a4931f05500eab0,4,2026-07-23T19:19:35+00:00,2026-08-06T21:10:24+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
dependabot[bot]#bd5a8d6c673b738d,dependabot[bot],bd5a8d6c673b738d52b0ac42a110045f3f964b3ebfc1d60ea805af743b1dc0e6,3,2026-05-26T17:10:08+00:00,2026-06-15T13:32:24+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pc-crop-governance-bot#785a16a1e5e89b92,pc-crop-governance-bot,785a16a1e5e89b92020cf20636ca2ce3d4a3b905fd479a37270f72f4013a2637,3,2026-07-27T23:17:45+00:00,2026-07-28T03:57:30+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
public-entry-watch#150c5ec0bc5e2a90,public-entry-watch,150c5ec0bc5e2a908b36b6cee4d08f6a76824202d33af8d38eb10bbea2691769,3,2026-07-21T03:25:49+00:00,2026-07-21T03:37:49+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
p7-authority-bot#a442423719e2da8b,p7-authority-bot,a442423719e2da8b85b8cb29eb71cafc2dc0f556249d2237cff75a8cb13f4c36,2,2026-07-28T18:46:31+00:00,2026-07-28T19:14:34+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pc-crop-authority[bot]#5ef736f7b7cbf835,pc-crop-authority[bot],5ef736f7b7cbf8351b350a01b1ca73a5ead735cb1d7209e90c13968518b800d1,2,2026-07-27T19:35:35+00:00,2026-07-27T19:52:37+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pc-crop-auth-mail-checker#785a16a1e5e89b92,pc-crop-auth-mail-checker,785a16a1e5e89b92020cf20636ca2ce3d4a3b905fd479a37270f72f4013a2637,1,2026-08-12T06:28:27+00:00,2026-08-12T06:28:27+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
pc-crop-auth-mail-fix#785a16a1e5e89b92,pc-crop-auth-mail-fix,785a16a1e5e89b92020cf20636ca2ce3d4a3b905fd479a37270f72f4013a2637,1,2026-08-12T01:13:52+00:00,2026-08-12T01:13:52+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
platform-v7-industrial-bot#2a63107e6760d2a0,platform-v7-industrial-bot,2a63107e6760d2a073787a4d882137676b06ec891f2abb18bba19596ab80d183,1,2026-07-13T07:50:15+00:00,2026-07-13T07:50:15+00:00,CHAIN_OF_TITLE_REFERENCE_REQUIRED
