path,blob_sha,first_commit,first_date,original_contributor,material_contributors,origin_class,origin_source,license,copyright,rights_basis,ai_involvement,criticality,decision,evidence,status
.env.example,809950005ddd4e51735db02674b6120c7d507798,8443866e9eb81693ba5d41a54cd7d8b5718aee03,2026-04-06T20:49:06+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a;pachaninm-lab#97bdb9e06bb3722c,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.env.example,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=8443866e9eb81693ba5d41a54cd7d8b5718aee03;blob=809950005ddd4e51735db02674b6120c7d507798;contributors=2,UNRESOLVED
.github/CODEOWNERS,aeaadc7cc1bb61fa8b712814ce3a48a5cb812456,160bf5222e79e9ff39855f9fb00c7ad658874a58,2026-08-21T16:44:00+03:00,pachaninm-lab#97bdb9e06bb3722c,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:pachaninm-lab#97bdb9e06bb3722c,AI_ASSISTED_FIRST_PARTY,OWNER_SPECIFICATION_ISSUE_4459_AND_REPOSITORY_HISTORY;origin_path=.github/CODEOWNERS,PROPRIETARY / UNLICENSED,NOT_DETECTED,OWNER_SPECIFICATION_ISSUE_4459; HUMAN_CHAIN_OF_TITLE_CONFIRMATION_REQUIRED,DECLARED_AI_ASSISTED,STANDARD,KEEP_FIRST_PARTY_CONTROL,git:first=160bf5222e79e9ff39855f9fb00c7ad658874a58;blob=aeaadc7cc1bb61fa8b712814ce3a48a5cb812456;contributors=1,TECHNICAL_ORIGIN_RECORDED
.github/codeql/codeql-config.yml,48baf75cefee170f777b8a6f8c083d75efa0da6c,3c957a839b1bca94c5c70547d94ab41643a27b6b,2026-08-05T07:59:15+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/codeql/codeql-config.yml,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=3c957a839b1bca94c5c70547d94ab41643a27b6b;blob=48baf75cefee170f777b8a6f8c083d75efa0da6c;contributors=1,UNRESOLVED
.github/container-images/ci-postgres-inventory.v1.json,9da4a39530d3f7b2b7dab462903dc0a0e77eae09,6eb43ef67a59f7619a4849b1040bd37137cb7b73,2026-07-27T05:00:05+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/container-images/ci-postgres-inventory.v1.json,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=6eb43ef67a59f7619a4849b1040bd37137cb7b73;blob=9da4a39530d3f7b2b7dab462903dc0a0e77eae09;contributors=1,UNRESOLVED
.github/container-images/postgres-16-alpine.v1.json,4c7f0153b7d30bc29061e1096be747ce5cc15b27,6eb43ef67a59f7619a4849b1040bd37137cb7b73,2026-07-27T05:00:05+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/container-images/postgres-16-alpine.v1.json,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=6eb43ef67a59f7619a4849b1040bd37137cb7b73;blob=4c7f0153b7d30bc29061e1096be747ce5cc15b27;contributors=1,UNRESOLVED
.github/container-images/postgres-16.4-alpine3.20.v1.json,2f669114de4d4bad378d50096a29034db824b462,6eb43ef67a59f7619a4849b1040bd37137cb7b73,2026-07-27T05:00:05+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/container-images/postgres-16.4-alpine3.20.v1.json,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=6eb43ef67a59f7619a4849b1040bd37137cb7b73;blob=2f669114de4d4bad378d50096a29034db824b462;contributors=1,UNRESOLVED
.github/container-images/postgres-16.v1.json,4a02f4a8a17f9270f8fdd30e8e71b08023b65a24,6eb43ef67a59f7619a4849b1040bd37137cb7b73,2026-07-27T05:00:05+00:00,Claude#cd29c5ac348a026a,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Claude#cd29c5ac348a026a,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/container-images/postgres-16.v1.json,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=6eb43ef67a59f7619a4849b1040bd37137cb7b73;blob=4a02f4a8a17f9270f8fdd30e8e71b08023b65a24;contributors=1,UNRESOLVED
.github/dependabot.yml,b34de1f7a03809651484a63fae01367743a3e227,6c9ea146bdb581aa1affad62c484c41dc78c096b,2026-05-26T19:58:28+03:00,pachaninm-lab#97bdb9e06bb3722c,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:pachaninm-lab#97bdb9e06bb3722c,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/dependabot.yml,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=6c9ea146bdb581aa1affad62c484c41dc78c096b;blob=b34de1f7a03809651484a63fae01367743a3e227;contributors=1,UNRESOLVED
.github/ISSUE_TEMPLATE/agent_task.md,f1dccadf12744f521f178b300117c65fc8018bfd,d1851fc8b385a3388de591ef2119e5ce426ffcf8,2026-04-25T02:19:09+03:00,pachaninm-lab#97bdb9e06bb3722c,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:pachaninm-lab#97bdb9e06bb3722c,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/ISSUE_TEMPLATE/agent_task.md,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=d1851fc8b385a3388de591ef2119e5ce426ffcf8;blob=f1dccadf12744f521f178b300117c65fc8018bfd;contributors=1,UNRESOLVED
.github/ISSUE_TEMPLATE/platform-v7-agent-run.md,f5e71a1bc8a2c1a7b605a1ff90ddb22818ec6923,2ec7f5e4de6a29d8a57a94a7c6fdad5cc7d79f5c,2026-05-24T16:48:39+03:00,pachaninm-lab#97bdb9e06bb3722c,ALL_RECORDED_NOT_MATERIALITY_ADJUDICATED:Codex#b1b6016d8905655b;pachaninm-lab#97bdb9e06bb3722c,UNKNOWN,REPOSITORY_HISTORY_ONLY;origin_path=.github/ISSUE_TEMPLATE/platform-v7-agent-run.md,UNRESOLVED,NOT_DETECTED,CHAIN_OF_TITLE_REQUIRED,UNKNOWN,STANDARD,ORIGIN_REVIEW_REQUIRED,git:first=2ec7f5e4de6a29d8a57a94a7c6fdad5cc7d79f5c;blob=f5e71a1bc8a2c1a7b605a1ff90ddb22818ec6923;contributors=2,UNRESOLVED
