path,criticality,surviving_lines_authored,total_lines_in_file,share_percent,wholly_authored
apps/web/components/platform-v7/visual/DealWorkspaceVisualLayer.tsx,STANDARD,335,337,99.4,NO
apps/web/components/platform-v7/visual/CauseLine.tsx,STANDARD,317,321,98.8,NO
apps/web/components/platform-v7/visual/ActionPreview.tsx,STANDARD,292,294,99.3,NO
apps/web/components/platform-v7/visual/BankCleanView.tsx,STANDARD,275,281,97.9,NO
apps/web/components/platform-v7/visual/TimelineChapters.tsx,STANDARD,271,276,98.2,NO
apps/web/components/platform-v7/visual/EvidenceStrengthMeter.tsx,STANDARD,253,260,97.3,NO
apps/web/components/platform-v7/visual/ExecutionHeader.tsx,STANDARD,253,256,98.8,NO
apps/web/components/platform-v7/visual/DriverBigTileMode.tsx,STANDARD,252,257,98.1,NO
apps/web/components/platform-v7/visual/DealMiniMap.tsx,STANDARD,250,254,98.4,NO
apps/web/components/platform-v7/visual/UnlockPath.tsx,STANDARD,250,253,98.8,NO
apps/web/components/platform-v7/visual/ObjectFocusHover.tsx,STANDARD,225,226,99.6,NO
apps/web/components/platform-v7/visual/ProgressiveDetailCard.tsx,STANDARD,221,223,99.1,NO
apps/web/components/platform-v7/visual/TimelineWithImpact.tsx,STANDARD,213,217,98.2,NO
apps/web/components/platform-v7/visual/OperatorRadar.tsx,STANDARD,208,214,97.2,NO
apps/web/components/platform-v7/visual/MagneticActionDock.tsx,STANDARD,203,206,98.5,NO
apps/api/src/modules/documents/document-matrix.service.ts,CROWN_JEWEL,201,228,88.2,NO
apps/web/components/platform-v7/visual/AfterActionReceipt.tsx,STANDARD,201,201,100.0,YES
apps/web/components/platform-v7/visual/MoneyLockHalo.tsx,STANDARD,196,199,98.5,NO
apps/web/components/platform-v7/visual/MobileExecutionHeader.tsx,STANDARD,188,189,99.5,NO
apps/api/src/common/action-executor/action-executor.service.ts,STANDARD,187,188,99.5,NO
apps/web/components/platform-v7/visual/ProofRibbon.tsx,STANDARD,177,178,99.4,NO
apps/web/components/platform-v7/visual/TrustDot.tsx,STANDARD,171,172,99.4,NO
apps/web/components/platform-v7/LiveApiStatusBar.tsx,STANDARD,161,195,82.6,NO
apps/web/components/platform-v7/visual/SmartSectionSummary.tsx,STANDARD,157,159,98.7,NO
apps/web/components/platform-v7/visual/RoleLens.tsx,STANDARD,155,155,100.0,YES
apps/api/src/common/database/database-seed.service.ts,STANDARD,148,148,100.0,YES
apps/api/src/modules/runtime-core/runtime-core.spec.ts,STANDARD,142,142,100.0,YES
apps/web/tests/e2e/platform-v7-vil-qa.spec.ts,STANDARD,142,142,100.0,YES
apps/web/components/platform-v7/visual/DocumentImpactChip.tsx,STANDARD,136,137,99.3,NO
apps/api/src/common/action-executor/action-policy.ts,STANDARD,123,131,93.9,NO
apps/api/src/common/action-executor/action-executor.spec.ts,STANDARD,114,202,56.4,NO
apps/api/src/modules/evidence-pack/evidence-pack.service.ts,CROWN_JEWEL,114,114,100.0,YES
apps/web/components/platform-v7/visual/DealStatusEdge.tsx,STANDARD,105,105,100.0,YES
apps/web/components/platform-v7/visual/QuietIntelligenceHint.tsx,STANDARD,98,104,94.2,NO
apps/api/src/common/database/database-seed.service.spec.ts,STANDARD,96,96,100.0,YES
apps/web/components/platform-v7/visual/FocusDetailMode.tsx,STANDARD,96,97,99.0,NO
apps/web/components/platform-v7/visual/index.ts,STANDARD,85,85,100.0,YES
apps/api/src/modules/integrations/integrations.service.spec.ts,STANDARD,79,154,51.3,NO
apps/web/lib/labs-server.ts,STANDARD,77,82,93.9,NO
apps/api/src/modules/evidence-pack/evidence-pack.spec.ts,CROWN_JEWEL,72,72,100.0,YES
apps/web/lib/outbox-server.ts,STANDARD,65,133,48.9,NO
apps/web/tests/e2e/platform-v7-executive-admin-pages.spec.ts,STANDARD,63,63,100.0,YES
apps/web/app/platform-v7/deals/[id]/audit/page.tsx,STANDARD,58,100,58.0,NO
apps/web/lib/evidence-server.ts,STANDARD,54,56,96.4,NO
apps/web/app/api/platform-status/route.ts,STANDARD,50,51,98.0,NO
apps/web/components/platform-v7/visual/OperatorRadarIsland.tsx,STANDARD,49,49,100.0,YES
apps/api/src/modules/evidence-pack/evidence-pack.controller.ts,CROWN_JEWEL,48,48,100.0,YES
apps/web/lib/disputes-server.ts,STANDARD,44,178,24.7,NO
apps/api/src/modules/admin/admin.controller.ts,CROWN_JEWEL,43,369,11.7,NO
